Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2248573,"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,"Paolini, Christopher",,0375826726,9780375826726,5,4.07,Alfred A. Knopf,Hardcover,748,2008,2008,,3/16/2019,,,read,,,,1,0
17465470,The Royal Ranger (Ranger's Apprentice #12 Ranger's Apprentice: The Royal Ranger #1),John Flanagan,"Flanagan, John",,0399163603,9780399163609,5,4.26,Philomel Books,Hardcover,464,2013,2013,,3/16/2019,,,read,,,,1,0
11309018,"The Lost Stories (Ranger's Apprentice, #11)",John Flanagan,"Flanagan, John",,0399256180,9780399256189,4,4.27,Philomel,Hardcover,422,2011,2011,,3/16/2019,,,read,,,,1,0
8404519,The Emperor of Nihon-Ja (Ranger's Apprentice #10),John Flanagan,"Flanagan, John",,0399255001,9780399255007,5,4.42,Philomel Books,Hardcover,435,2011,2011,,3/16/2019,,,read,,,,1,0
39952016,"Halt's Peril (Ranger's Apprentice, #9)",John Flanagan,"Flanagan, John",,0142418587,9780142418581,4,4.39,Puffin Books,Paperback,416,2014,2009,,3/16/2019,,,read,,,,1,0
39920159,"The Kings of Clonmel (Ranger's Apprentice, #8)",John Flanagan,"Flanagan, John",,0142418579,9780142418574,5,4.3,Puffin Books,Paperback,400,2014,2008,,3/16/2019,,,read,,,,1,0
6719735,"Erak's Ransom (Ranger's Apprentice, #7)",John Flanagan,"Flanagan, John",,0399252053,9780399252051,5,4.33,Philomel Books,Hardcover,373,2010,2007,,3/16/2019,,,read,,,,1,0
1814843,"The Siege of Macindaw (Ranger's Apprentice, #6)",John Flanagan,"Flanagan, John",,174166134X,9781741661347,5,4.34,Puffin Books,Paperback,320,2006,2006,,3/16/2019,,,read,,,,1,0
2865228,"The Sorcerer of the North (Ranger's Apprentice, #5)",John Flanagan,"Flanagan, John",,0399250328,9780399250323,5,4.27,Viking Books for Young Readers,Hardcover,295,2008,2006,,3/16/2019,,,read,,,,1,0
41134360,Ranger's Apprentice: The Battle for Skandia (Ranger's Apprentice),John Flanagan,"Flanagan, John",,1436165369,9781436165365,5,4.35,Recorded Books,Preloaded Digital Audio Player,,,2006,,3/16/2019,,,read,,,,1,0
15748847,"The Icebound Land (Ranger's Apprentice, #3)",John Flanagan,"Flanagan, John",,0142410756,9780142410752,5,4.24,Puffin Books,Paperback,266,2008,2005,,3/16/2019,,,read,,,,1,0
2396395,The Burning Bridge,John Flanagan,"Flanagan, John",,0545044278,9780545044271,5,4.31,Penguin Group,Paperback,,2005,2005,,3/16/2019,,,read,,,,1,0
60400,"The Ruins of Gorlan (Ranger's Apprentice, #1)",John Flanagan,"Flanagan, John",,0142406635,9780142406632,4,4.24,Puffin Books,Paperback,249,2006,2004,,3/16/2019,,,read,,,,1,0
15841877,The Enchantress,Michael Scott,"Scott, Michael",,0385735367,9780385735360,5,4.24,Ember,Paperback,517,2013,2012,,3/16/2019,,,read,,,,1,0
3168250,The Alchemyst (The Secrets of the Immortal Nicholas Flamel #1),Michael Scott,"Scott, Michael",,0385736002,9780385736008,4,3.86,Ember,Paperback,369,2008,2007,,3/16/2019,,,read,,,,1,0
1127693,"Eldest (Inheritance, #2)",Christopher Paolini,"Paolini, Christopher",,0375926704,9780375926709,5,4.01,Alfred A. Knopf Books for Young Readers,Hardcover,681,2005,2005,,3/16/2019,,,read,,,,1,0
18667863,"Slaves of Socorro (Brotherband Chronicles, #4)",John Flanagan,"Flanagan, John",,0399163557,9780399163555,5,4.39,Philomel Books,Hardcover,462,2014,2014,,3/16/2019,,,read,,,,1,0
13589152,"The Hunters (Brotherband Chronicles, #3)",John Flanagan,"Flanagan, John",,0399256210,9780399256219,5,4.45,Philomel Books,Hardcover,403,2012,2012,,3/16/2019,,,read,,,,1,0
13003565,"The Invaders (Brotherband Chronicles, #2)",John Flanagan,"Flanagan, John",,0399256202,9780399256202,5,4.39,Philomel Books,Hardcover,429,2012,2012,,3/16/2019,,,read,,,,1,0
7090447,"The Red Pyramid (The Kane Chronicles, #1)",Rick Riordan,"Riordan, Rick",,1423113381,9781423113386,5,4.1,Disney-Hyperion,Hardcover,528,2010,2010,,3/16/2019,,,read,,,,1,0
29609072,Pavlov's Dog: Groundbreaking Experiments in Psychology,Adam Hart-Davis,"Hart-Davis, Adam",,1435161319,9781435161313,4,3.85,Metro Books,Hardcover,176,2015,2015,,3/16/2019,,,read,,,,1,0
2446384,The Phantom of the Opera,Dalmatian Press,"Press, Dalmatian",,1403739064,9781403739063,4,3.96,Dalmatian Press,Paperback,288,2007,1909,,3/16/2019,,,read,,,,1,0
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"Brown, Dan",,,,3,3.89,Anchor,Paperback,489,2006,2003,,3/16/2019,,,read,,,,1,0
7243142,"Keys to the Demon Prison (Fablehaven, #5)",Brandon Mull,"Mull, Brandon",,1606412388,9781606412381,5,4.45,Shadow Mountain,Hardcover,593,2010,2010,,3/16/2019,,,read,,,,1,0
2146957,"Grip of the Shadow Plague (Fablehaven, #3)",Brandon Mull,"Mull, Brandon",,1590388984,9781590388983,5,4.29,Shadow Mountain,Hardcover,477,2008,2008,,3/16/2019,,,read,,,,1,0
784911,"Rise of the Evening Star (Fablehaven, #2)",Brandon Mull,"Mull, Brandon",,1590387422,9781590387429,5,4.17,Shadow Mountain,Hardcover,456,2007,2007,,3/16/2019,,,read,,,,1,0
44652,"Fablehaven (Fablehaven, #1)",Brandon Mull,"Mull, Brandon",,1590385810,9781590385814,5,4.12,Shadow Mountain,Hardcover,351,2006,2006,,3/16/2019,,,read,,,,1,0
18054017,"Catalyst (Insignia, #3)",S.J. Kincaid,"Kincaid, S.J.",,0062093053,9780062093059,5,4.39,Katherine Tegen Books,Hardcover,419,2014,2014,,3/16/2019,,,read,,,,1,0
16101515,"Vortex (Insignia, #2)",S.J. Kincaid,"Kincaid, S.J.",,0062093029,9780062093028,5,4.27,Katherine Tegen Books,Hardcover,390,2013,2013,,3/16/2019,,,read,,,,1,0
11115434,"Insignia (Insignia, #1)",S.J. Kincaid,"Kincaid, S.J.",,0062092995,9780062092991,5,4.15,Katherine Tegen Books,Hardcover,446,2012,2012,,3/16/2019,,,read,,,,1,0
32191710,Astrophysics for People in a Hurry,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,0393609391,9780393609394,5,4.09,W. W. Norton  Company,Hardcover,223,2017,2017,,3/16/2019,,,read,,,,1,0
21413662,"What If? Serious Scientific Answers to Absurd Hypothetical Questions (What If?, #1)",Randall Munroe,"Munroe, Randall",,0544272994,9780544272996,5,4.14,Mariner Books,Hardcover,303,2014,2014,,3/16/2019,,,read,,,,1,0
3869,A Brief History of Time,Stephen Hawking,"Hawking, Stephen",,0553380168,9780553380163,0,4.2,Bantam Books,Paperback,213,1998,1988,,3/16/2019,to-read,to-read (#1),to-read,,,,0,0
8695,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,"Adams, Douglas",,,,5,4.21,Del Rey,Paperback,250,2005,1980,,3/16/2019,,,read,,,,1,0
865,The Alchemist,Paulo Coelho,"Coelho, Paulo",Alan R. Clarke,0061122416,9780061122415,5,3.9,HarperCollins,Paperback,197,1993,1988,,3/16/2019,,,read,,,,1,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,,,5,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,,3/16/2019,,,read,,,,1,0
8458018,"The Warlock (The Secrets of the Immortal Nicholas Flamel, #5)",Michael Scott,"Scott, Michael",,0385735332,9780385735339,5,4.18,Delacorte Press,Hardcover,400,2011,2011,,3/16/2019,,,read,,,,1,0
10551947,"The Outcasts (Brotherband Chronicles, #1)",John Flanagan,"Flanagan, John",Angelika Eisold-Viebig,0399256199,9780399256196,5,4.38,Philomel Books,Hardcover,434,2011,2011,,3/16/2019,,,read,,,,1,0
9067850,"The Throne of Fire (The Kane Chronicles, #2)",Rick Riordan,"Riordan, Rick",,1423140567,9781423140566,5,4.19,Hyperion Books for Children,Hardcover,452,2011,2011,,3/16/2019,,,read,,,,1,0
5217282,"Secrets of the Dragon Sanctuary (Fablehaven, #4)",Brandon Mull,"Mull, Brandon",,1606410423,9781606410424,5,4.38,Shadow Mountain,Hardcover,535,2009,2009,,3/16/2019,,,read,,,,1,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,,,5,4.47,Scholastic Inc,Hardcover,309,2003,1997,,3/16/2019,,,read,,,,1,0
113436,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,"Paolini, Christopher",,0375826696,9780375826696,5,3.93,Alfred A. Knopf,Paperback,503,2005,2002,,3/16/2019,,,read,,,,1,0
